# Segments csv adapted from original eval_segments provided by audioset
# num_ytids=Dunno, num_segs=Dunno, num_unique_labels=Dunno, num_positive_labels=Dunno
# YTID, start_seconds, end_seconds, positive_labels
-iSwmbSS9TA, 30.000, 40.000, "/m/014zdl,/m/07qsvvw"
7UC6F9xm8nw, 40.000, 50.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
7TQwJ8LQz4A, 40.000, 50.000, "/m/032s66"
1grT1gN5v8U, 110.000, 120.000, "/m/06mb1,/t/dd00038"
OI5FodTedic, 30.000, 40.000, "/m/03m9d0z,/m/0ngt1,/t/dd00092"
Fr0UKnvvaTc, 50.000, 60.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
OYHJKP9Dvak, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
2u8_vL8Ey8c, 30.000, 40.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
0ofoAhSl6AU, 0.000, 3.000, "/m/014zdl"
16bJ0gebwoA, 30.000, 40.000, "/m/014zdl,/m/09x0r"
DaBV3v006_w, 0.000, 6.000, "/m/014zdl,/m/09x0r"
1g1mUmP5DZs, 1.000, 11.000, "/m/032s66,/m/0_1c"
7HRu8-qtjwc, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07qsvvw,/m/09x0r"
CVehnsauIUs, 50.000, 60.000, "/m/019jd,/m/02rlv9,/m/03m9d0z,/m/05kq4,/t/dd00092"
2UtIx6YbRU4, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
-PoXQIZDs0c, 20.000, 30.000, "/m/032s66,/m/073cg4"
AgJfmqJ5eFk, 80.000, 90.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
Jm4PZ1PunGo, 110.000, 120.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
81mpvsDGHSg, 340.000, 350.000, "/m/032s66,/m/04zjc"
jrl5AheClRQ, 100.000, 110.000, "/m/014zdl,/m/02_41"
Law3-qAVyqg, 470.000, 480.000, "/m/034srq,/m/03m9d0z,/m/05kq4"
48XK6ht7dsE, 40.000, 50.000, "/m/06mb1"
03Qvfru13tA, 26.000, 36.000, "/m/06mb1,/m/0jb2l,/t/dd00038"
5RMbjzZGNsA, 290.000, 300.000, "/m/06mb1,/m/0jb2l,/m/0ngt1"
3YNW8RWWnu4, 10.000, 20.000, "/m/03m9d0z,/t/dd00092"
8FNEwCYRd0U, 30.000, 40.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
7IgLM7QeFrQ, 70.000, 80.000, "/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
HQtRH3Jp_20, 0.000, 5.000, "/m/034srq,/m/03m9d0z,/m/05kq4,/t/dd00092"
WiVLZGN6jkU, 0.000, 10.000, "/m/02_41,/m/03m9d0z"
-_zabUkraYc, 160.000, 170.000, "/m/03m9d0z,/m/06mb1"
HAYbgYJOwjc, 60.000, 70.000, "/m/02_41,/m/03m9d0z,/t/dd00092"
AWjqLzmG3jU, 20.000, 30.000, "/m/014zdl,/m/09x0r"
NzToqarvJAA, 10.000, 20.000, "/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/06q74,/t/dd00092"
7Ov1bh9BGJ0, 370.000, 380.000, "/m/032s66,/m/04zjc"
0QkPKqR95_U, 30.000, 40.000, "/m/032s66"
-oxTGKGQN5s, 30.000, 40.000, "/m/032s66,/m/04zjc"
1GLGnsok368, 30.000, 40.000, "/m/03m9d0z,/t/dd00092"
3RIqTsstbOU, 550.000, 560.000, "/m/032s66"
